tool,benchmark,log_file,execution_date,expected_behavior,expectation_match,expected_tool_behavior,tool_expectation_match,returncode,compile_returncode,run_returncode,classification,error
afl++,benchmarks/memory_corruption/heap_write_overflow.c,outputs/afl/heap_write_overflow_20260609-151155.log,2026-06-09T15:11:55,vulneravel,divergente,inconclusivo,inconclusivo,,0,1,nao detectado,
afl++,benchmarks/memory_corruption/matrix_index_error.c,outputs/afl/matrix_index_error_20260609-151206.log,2026-06-09T15:12:06,vulneravel,divergente,inconclusivo,inconclusivo,,0,1,nao detectado,
afl++,benchmarks/memory_corruption/out_of_bounds_read.c,outputs/afl/out_of_bounds_read_20260609-151218.log,2026-06-09T15:12:18,vulneravel,divergente,inconclusivo,inconclusivo,,0,1,nao detectado,
afl++,benchmarks/memory_corruption/parser_token_overflow_error.c,outputs/afl/parser_token_overflow_error_20260609-151229.log,2026-06-09T15:12:29,vulneravel,divergente,inconclusivo,inconclusivo,,0,1,nao detectado,
afl++,benchmarks/memory_corruption/parser_token_safe.c,outputs/afl/parser_token_safe_20260609-151241.log,2026-06-09T15:12:41,correto,conforme esperado,inconclusivo,inconclusivo,,0,1,nao detectado,
afl++,benchmarks/memory_corruption/ring_buffer_overwrite_error.c,outputs/afl/ring_buffer_overwrite_error_20260609-151253.log,2026-06-09T15:12:53,vulneravel,divergente,inconclusivo,inconclusivo,,0,1,nao detectado,
afl++,benchmarks/memory_corruption/ring_buffer_safe.c,outputs/afl/ring_buffer_safe_20260609-151304.log,2026-06-09T15:13:04,correto,conforme esperado,inconclusivo,inconclusivo,,0,1,nao detectado,
afl++,benchmarks/memory_corruption/simple_buffer_overflow.c,outputs/afl/simple_buffer_overflow_20260609-151316.log,2026-06-09T15:13:16,vulneravel,divergente,inconclusivo,inconclusivo,,0,1,nao detectado,
afl++,benchmarks/memory_corruption/stack_write_overflow.c,outputs/afl/stack_write_overflow_20260609-151327.log,2026-06-09T15:13:27,vulneravel,divergente,inconclusivo,inconclusivo,,0,1,nao detectado,
afl++,benchmarks/memory_corruption/string_copy_overflow.c,outputs/afl/string_copy_overflow_20260609-151339.log,2026-06-09T15:13:39,vulneravel,divergente,inconclusivo,inconclusivo,,0,1,nao detectado,
afl++,benchmarks/memory_corruption/use_after_free.c,outputs/afl/use_after_free_20260609-151350.log,2026-06-09T15:13:50,vulneravel,divergente,inconclusivo,inconclusivo,,0,1,nao detectado,
afl++,benchmarks/random_tests/random_heap_use_after_free.c,outputs/afl/random_heap_use_after_free_20260609-151404.log,2026-06-09T15:14:04,nao informado,nao avaliado,nao informado,nao avaliado,,0,1,nao detectado,
asan,benchmarks/memory_corruption/heap_write_overflow.c,outputs/asan/heap_write_overflow_20260609-151156.log,2026-06-09T15:11:56,vulneravel,conforme esperado,detectar,conforme esperado,,0,124,detectado,Tempo limite excedido apos 10 segundos.
asan,benchmarks/memory_corruption/matrix_index_error.c,outputs/asan/matrix_index_error_20260609-151207.log,2026-06-09T15:12:07,vulneravel,conforme esperado,detectar,conforme esperado,,0,124,detectado,Tempo limite excedido apos 10 segundos.
asan,benchmarks/memory_corruption/out_of_bounds_read.c,outputs/asan/out_of_bounds_read_20260609-151219.log,2026-06-09T15:12:19,vulneravel,conforme esperado,detectar,conforme esperado,,0,124,detectado,Tempo limite excedido apos 10 segundos.
asan,benchmarks/memory_corruption/parser_token_overflow_error.c,outputs/asan/parser_token_overflow_error_20260609-151230.log,2026-06-09T15:12:30,vulneravel,conforme esperado,detectar,conforme esperado,,0,124,detectado,Tempo limite excedido apos 10 segundos.
asan,benchmarks/memory_corruption/parser_token_safe.c,outputs/asan/parser_token_safe_20260609-151242.log,2026-06-09T15:12:42,correto,divergente,nao_detectar,divergente,,0,124,detectado,Tempo limite excedido apos 10 segundos.
asan,benchmarks/memory_corruption/ring_buffer_overwrite_error.c,outputs/asan/ring_buffer_overwrite_error_20260609-151254.log,2026-06-09T15:12:54,vulneravel,conforme esperado,detectar,conforme esperado,,0,124,detectado,Tempo limite excedido apos 10 segundos.
asan,benchmarks/memory_corruption/ring_buffer_safe.c,outputs/asan/ring_buffer_safe_20260609-151305.log,2026-06-09T15:13:05,correto,divergente,nao_detectar,divergente,,0,124,detectado,Tempo limite excedido apos 10 segundos.
asan,benchmarks/memory_corruption/simple_buffer_overflow.c,outputs/asan/simple_buffer_overflow_20260609-151317.log,2026-06-09T15:13:17,vulneravel,conforme esperado,detectar,conforme esperado,,0,124,detectado,Tempo limite excedido apos 10 segundos.
asan,benchmarks/memory_corruption/simple_buffer_overflow_fixed.c,outputs/asan/simple_buffer_overflow_fixed_20260603-105048.log,2026-06-03T10:50:48,correto,divergente,nao_detectar,divergente,,0,124,detectado,Tempo limite excedido apos 30 segundos.
asan,benchmarks/memory_corruption/stack_write_overflow.c,outputs/asan/stack_write_overflow_20260609-151328.log,2026-06-09T15:13:28,vulneravel,conforme esperado,detectar,conforme esperado,,0,124,detectado,Tempo limite excedido apos 10 segundos.
asan,benchmarks/memory_corruption/string_copy_overflow.c,outputs/asan/string_copy_overflow_20260609-151339.log,2026-06-09T15:13:39,vulneravel,conforme esperado,detectar,conforme esperado,,0,124,detectado,Tempo limite excedido apos 10 segundos.
asan,benchmarks/memory_corruption/use_after_free.c,outputs/asan/use_after_free_20260609-151351.log,2026-06-09T15:13:51,vulneravel,conforme esperado,detectar,conforme esperado,,0,124,detectado,Tempo limite excedido apos 10 segundos.
asan,benchmarks/random_tests/random_heap_use_after_free.c,outputs/asan/random_heap_use_after_free_20260609-151405.log,2026-06-09T15:14:05,nao informado,nao avaliado,nao informado,nao avaliado,,0,124,detectado,Tempo limite excedido apos 10 segundos.
deadlock-timeout,benchmarks/deadlock/deadlock_cache_refresh_error.c,outputs/deadlock/deadlock_cache_refresh_error_20260609-151126.log,2026-06-09T15:11:26,vulneravel,conforme esperado,detectar,conforme esperado,,0,124,detectado,Tempo limite excedido apos 3 segundos.
deadlock-timeout,benchmarks/deadlock/deadlock_cache_refresh_safe.c,outputs/deadlock/deadlock_cache_refresh_safe_20260609-151130.log,2026-06-09T15:11:30,correto,conforme esperado,nao_detectar,conforme esperado,,0,0,nao detectado,
deadlock-timeout,benchmarks/deadlock/deadlock_conditional_order.c,outputs/deadlock/deadlock_conditional_order_20260609-151131.log,2026-06-09T15:11:31,vulneravel,conforme esperado,detectar,conforme esperado,,0,124,detectado,Tempo limite excedido apos 3 segundos.
deadlock-timeout,benchmarks/deadlock/deadlock_nested_service_error.c,outputs/deadlock/deadlock_nested_service_error_20260609-151134.log,2026-06-09T15:11:34,vulneravel,conforme esperado,detectar,conforme esperado,,0,124,detectado,Tempo limite excedido apos 3 segundos.
deadlock-timeout,benchmarks/deadlock/deadlock_nested_service_safe.c,outputs/deadlock/deadlock_nested_service_safe_20260609-151137.log,2026-06-09T15:11:37,correto,conforme esperado,nao_detectar,conforme esperado,,0,0,nao detectado,
deadlock-timeout,benchmarks/deadlock/deadlock_resource_pair.c,outputs/deadlock/deadlock_resource_pair_20260609-151138.log,2026-06-09T15:11:38,vulneravel,conforme esperado,detectar,conforme esperado,,0,124,detectado,Tempo limite excedido apos 3 segundos.
deadlock-timeout,benchmarks/deadlock/deadlock_self_lock.c,outputs/deadlock/deadlock_self_lock_20260609-151141.log,2026-06-09T15:11:41,vulneravel,conforme esperado,detectar,conforme esperado,,0,124,detectado,Tempo limite excedido apos 3 segundos.
deadlock-timeout,benchmarks/deadlock/deadlock_three_locks_cycle.c,outputs/deadlock/deadlock_three_locks_cycle_20260609-151144.log,2026-06-09T15:11:44,vulneravel,conforme esperado,detectar,conforme esperado,,0,124,detectado,Tempo limite excedido apos 3 segundos.
deadlock-timeout,benchmarks/deadlock/deadlock_trylock_safe.c,outputs/deadlock/deadlock_trylock_safe_20260609-151148.log,2026-06-09T15:11:48,correto,conforme esperado,nao_detectar,conforme esperado,,0,0,nao detectado,
deadlock-timeout,benchmarks/deadlock/deadlock_two_locks_reverse.c,outputs/deadlock/deadlock_two_locks_reverse_20260609-151149.log,2026-06-09T15:11:49,vulneravel,conforme esperado,detectar,conforme esperado,,0,124,detectado,Tempo limite excedido apos 3 segundos.
deadlock-timeout,benchmarks/deadlock/simple_deadlock.c,outputs/deadlock/simple_deadlock_20260609-151152.log,2026-06-09T15:11:52,vulneravel,conforme esperado,detectar,conforme esperado,,0,124,detectado,Tempo limite excedido apos 3 segundos.
deadlock-timeout,benchmarks/deadlock/simple_deadlock_fixed.c,outputs/deadlock/simple_deadlock_fixed_20260605-134344.log,2026-06-05T13:43:44,correto,conforme esperado,nao_detectar,conforme esperado,,0,0,nao detectado,
deadlock-timeout,benchmarks/random_tests/random_deadlock_pair.c,outputs/deadlock/random_deadlock_pair_20260609-151402.log,2026-06-09T15:14:02,nao informado,nao avaliado,nao informado,nao avaliado,,0,0,nao detectado,
esbmc,benchmarks/assertion_violation/assert_array_index.c,outputs/esbmc/assert_array_index_20260609-151111.log,2026-06-09T15:11:11,vulneravel,inconclusivo,detectar,inconclusivo,6,,,erro de execucao,
esbmc,benchmarks/assertion_violation/assert_bank_withdraw_error.c,outputs/esbmc/assert_bank_withdraw_error_20260609-151111.log,2026-06-09T15:11:11,vulneravel,inconclusivo,detectar,inconclusivo,6,,,erro de execucao,
esbmc,benchmarks/assertion_violation/assert_bank_withdraw_safe.c,outputs/esbmc/assert_bank_withdraw_safe_20260609-151111.log,2026-06-09T15:11:11,correto,inconclusivo,nao_detectar,inconclusivo,6,,,erro de execucao,
esbmc,benchmarks/assertion_violation/assert_counter_overflow.c,outputs/esbmc/assert_counter_overflow_20260609-151112.log,2026-06-09T15:11:12,vulneravel,inconclusivo,detectar,inconclusivo,6,,,erro de execucao,
esbmc,benchmarks/assertion_violation/assert_negative_value.c,outputs/esbmc/assert_negative_value_20260609-151112.log,2026-06-09T15:11:12,vulneravel,inconclusivo,detectar,inconclusivo,6,,,erro de execucao,
esbmc,benchmarks/assertion_violation/assert_protocol_sequence_error.c,outputs/esbmc/assert_protocol_sequence_error_20260609-151112.log,2026-06-09T15:11:12,vulneravel,inconclusivo,detectar,inconclusivo,6,,,erro de execucao,
esbmc,benchmarks/assertion_violation/assert_sorted_insert_error.c,outputs/esbmc/assert_sorted_insert_error_20260609-151112.log,2026-06-09T15:11:12,vulneravel,inconclusivo,detectar,inconclusivo,6,,,erro de execucao,
esbmc,benchmarks/assertion_violation/assert_sorted_insert_safe.c,outputs/esbmc/assert_sorted_insert_safe_20260609-151113.log,2026-06-09T15:11:13,correto,inconclusivo,nao_detectar,inconclusivo,6,,,erro de execucao,
esbmc,benchmarks/assertion_violation/assert_state_transition.c,outputs/esbmc/assert_state_transition_20260609-151113.log,2026-06-09T15:11:13,vulneravel,inconclusivo,detectar,inconclusivo,6,,,erro de execucao,
esbmc,benchmarks/assertion_violation/assert_sum_limit.c,outputs/esbmc/assert_sum_limit_20260609-151113.log,2026-06-09T15:11:13,vulneravel,inconclusivo,detectar,inconclusivo,6,,,erro de execucao,
esbmc,benchmarks/assertion_violation/simple_assert_fail.c,outputs/esbmc/simple_assert_fail_20260609-151113.log,2026-06-09T15:11:13,vulneravel,inconclusivo,detectar,inconclusivo,6,,,erro de execucao,
esbmc,benchmarks/assertion_violation/simple_assert_pass.c,outputs/esbmc/simple_assert_pass_20260605-120647.log,2026-06-05T12:06:47,correto,inconclusivo,nao_detectar,inconclusivo,6,,,erro de execucao,
esbmc,benchmarks/random_tests/random_assert_check.c,outputs/esbmc/random_assert_check_20260609-151401.log,2026-06-09T15:14:01,nao informado,nao avaliado,nao informado,nao avaliado,6,,,erro de execucao,
tsan,benchmarks/data_race/race_array_cell.c,outputs/tsan/race_array_cell_20260609-164646.log,2026-06-09T16:46:46,vulneravel,conforme esperado,detectar,conforme esperado,,0,-6,detectado,
tsan,benchmarks/data_race/race_config_reload_error.c,outputs/tsan/race_config_reload_error_20260609-164650.log,2026-06-09T16:46:50,vulneravel,conforme esperado,detectar,conforme esperado,,0,-6,detectado,
tsan,benchmarks/data_race/race_config_reload_safe.c,outputs/tsan/race_config_reload_safe_20260609-164652.log,2026-06-09T16:46:52,correto,conforme esperado,nao_detectar,conforme esperado,,0,0,nao detectado,
tsan,benchmarks/data_race/race_increment_loop.c,outputs/tsan/race_increment_loop_20260609-164654.log,2026-06-09T16:46:54,vulneravel,conforme esperado,detectar,conforme esperado,,0,-6,detectado,
tsan,benchmarks/data_race/race_lazy_init_error.c,outputs/tsan/race_lazy_init_error_20260609-164656.log,2026-06-09T16:46:56,vulneravel,conforme esperado,detectar,conforme esperado,,0,-6,detectado,
tsan,benchmarks/data_race/race_order_queue_error.c,outputs/tsan/race_order_queue_error_20260609-164658.log,2026-06-09T16:46:58,vulneravel,conforme esperado,detectar,conforme esperado,,0,-6,detectado,
