tool,benchmark,log_file,execution_date,expected_behavior,expectation_match,returncode,compile_returncode,run_returncode,classification,error
afl++,benchmarks/memory_corruption/heap_write_overflow.c,outputs/afl/heap_write_overflow_20260609-085711.log,2026-06-09T08:57:11,nao informado,nao avaliado,,0,1,nao detectado,
afl++,benchmarks/memory_corruption/matrix_index_error.c,outputs/afl/matrix_index_error_20260609-085725.log,2026-06-09T08:57:25,vulneravel,divergente,,0,1,nao detectado,
afl++,benchmarks/memory_corruption/out_of_bounds_read.c,outputs/afl/out_of_bounds_read_20260609-085737.log,2026-06-09T08:57:37,nao informado,nao avaliado,,0,1,nao detectado,
afl++,benchmarks/memory_corruption/parser_token_overflow_error.c,outputs/afl/parser_token_overflow_error_20260609-085749.log,2026-06-09T08:57:49,vulneravel,divergente,,0,1,nao detectado,
afl++,benchmarks/memory_corruption/parser_token_safe.c,outputs/afl/parser_token_safe_20260609-085801.log,2026-06-09T08:58:01,correto,conforme esperado,,0,1,nao detectado,
afl++,benchmarks/memory_corruption/ring_buffer_overwrite_error.c,outputs/afl/ring_buffer_overwrite_error_20260609-085813.log,2026-06-09T08:58:13,vulneravel,divergente,,0,1,nao detectado,
afl++,benchmarks/memory_corruption/ring_buffer_safe.c,outputs/afl/ring_buffer_safe_20260609-085829.log,2026-06-09T08:58:29,correto,conforme esperado,,0,1,nao detectado,
afl++,benchmarks/memory_corruption/simple_buffer_overflow.c,outputs/afl/simple_buffer_overflow_20260609-085841.log,2026-06-09T08:58:41,nao informado,nao avaliado,,0,1,nao detectado,
afl++,benchmarks/memory_corruption/stack_write_overflow.c,outputs/afl/stack_write_overflow_20260609-085854.log,2026-06-09T08:58:54,nao informado,nao avaliado,,0,1,nao detectado,
afl++,benchmarks/memory_corruption/string_copy_overflow.c,outputs/afl/string_copy_overflow_20260609-085906.log,2026-06-09T08:59:06,nao informado,nao avaliado,,0,1,nao detectado,
