tool,expected_behavior,expectation_match,classification,count,first_execution_date,latest_execution_date
afl++,correto,conforme esperado,nao detectado,8,2026-06-08T20:38:26,2026-06-09T08:58:29
afl++,nao informado,nao avaliado,ferramenta indisponivel,4,2026-05-19T17:02:53,2026-06-05T20:01:05
afl++,nao informado,nao avaliado,nao detectado,51,2026-06-05T20:48:34,2026-06-09T08:59:18
afl++,vulneravel,divergente,nao detectado,12,2026-06-08T20:37:42,2026-06-09T08:58:13
asan,correto,divergente,detectado,13,2026-06-03T10:46:50,2026-06-09T08:58:18
asan,nao informado,nao avaliado,detectado,55,2026-05-19T16:56:41,2026-06-09T08:59:07
asan,nao informado,nao avaliado,nao detectado,2,2026-05-19T16:55:48,2026-05-19T16:56:11
asan,vulneravel,conforme esperado,detectado,12,2026-06-08T20:37:31,2026-06-09T08:58:02
deadlock-timeout,correto,conforme esperado,nao detectado,13,2026-06-05T13:43:44,2026-06-09T08:59:53
deadlock-timeout,nao informado,nao avaliado,detectado,53,2026-06-05T13:42:04,2026-06-09T08:59:58
deadlock-timeout,nao informado,nao avaliado,nao detectado,1,2026-06-05T13:41:37,2026-06-05T13:41:37
deadlock-timeout,vulneravel,conforme esperado,detectado,8,2026-06-08T20:40:16,2026-06-09T08:59:37
esbmc,correto,inconclusivo,erro de execucao,9,2026-06-05T12:06:47,2026-06-09T08:56:59
esbmc,nao informado,nao avaliado,erro de execucao,56,2026-05-19T16:45:35,2026-06-09T08:59:18
esbmc,vulneravel,inconclusivo,erro de execucao,12,2026-06-08T20:37:16,2026-06-09T08:56:59
tsan,correto,conforme esperado,nao detectado,9,2026-06-05T12:03:11,2026-06-09T08:59:26
tsan,nao informado,nao avaliado,detectado,2,2026-05-19T16:59:00,2026-05-19T17:24:45
tsan,nao informado,nao avaliado,nao detectado,52,2026-06-05T13:48:25,2026-06-09T08:59:29
tsan,vulneravel,divergente,nao detectado,12,2026-06-08T20:39:53,2026-06-09T08:59:25
