tool,expected_behavior,expectation_match,classification,count,first_execution_date,latest_execution_date
afl++,correto,conforme esperado,nao detectado,2,2026-06-09T08:58:01,2026-06-09T08:58:29
afl++,nao informado,nao avaliado,nao detectado,6,2026-06-09T08:57:11,2026-06-09T08:59:18
afl++,vulneravel,divergente,nao detectado,3,2026-06-09T08:57:25,2026-06-09T08:58:13
asan,correto,divergente,detectado,3,2026-06-03T10:50:48,2026-06-09T08:58:18
asan,nao informado,nao avaliado,detectado,6,2026-06-09T08:57:00,2026-06-09T08:59:07
asan,vulneravel,conforme esperado,detectado,3,2026-06-09T08:57:13,2026-06-09T08:58:02
deadlock-timeout,correto,conforme esperado,nao detectado,4,2026-06-05T13:43:44,2026-06-09T08:59:53
deadlock-timeout,nao informado,nao avaliado,detectado,6,2026-06-09T08:59:34,2026-06-09T08:59:58
deadlock-timeout,vulneravel,conforme esperado,detectado,2,2026-06-09T08:59:30,2026-06-09T08:59:37
esbmc,correto,inconclusivo,erro de execucao,3,2026-06-05T12:06:47,2026-06-09T08:56:59
esbmc,nao informado,nao avaliado,erro de execucao,6,2026-06-09T08:56:58,2026-06-09T08:59:18
esbmc,vulneravel,inconclusivo,erro de execucao,3,2026-06-09T08:56:58,2026-06-09T08:56:59
tsan,correto,conforme esperado,nao detectado,3,2026-06-05T12:03:11,2026-06-09T08:59:26
tsan,nao informado,nao avaliado,nao detectado,6,2026-06-09T08:59:19,2026-06-09T08:59:29
tsan,vulneravel,divergente,nao detectado,3,2026-06-09T08:59:21,2026-06-09T08:59:25
